id;distances_Q1;distances_Q2;distances_Q3;distances_Q4
1033006; 30788,2890; 5260,0070;38038,3861; 28057,10890
1005004;  4515,0883;40177,8999;18416,3031; 56843,48374
1038001;     0,0000;32409,1019;10101,3981;     0,00000
1037006; 11869,7276;27498,2651;15144,0719; 29812,95162
1001001; 26992,6301;21892,3135;20245,8676; 32896,87807
1068001; 17618,5565;47147,9000;    0,0000;  1904,24907
1029008; 20178,2117;61089,2017;    0,0000; 33111,78183
1056008; 33440,4787; 9451,7429;13726,2353; 36789,47278
1035002;119334,2333;16458,0310;16255,6135; 12492,75737
1022004; 84947,1020;38889,4644;10958,4259; 15003,24797
1067004;  9554,5316; 5130,9261;19017,2876;     0,00000
1059006;  2438,9012;12578,3799;18852,5675;  6896,72665
1050003;177856,4788; 7771,0650;47282,5629;     0,00000
1062004; 16838,7819;39979,9195;12161,4622;     0,00000
1050007;181434,9704;    0,0000;34117,2216;  9660,64960
1079005; 56616,8578;36033,7398;23654,1390;  9467,72848
1034004; 12710,3625;27683,7871;16089,7367; 14604,27408
1065005; 25976,4902;18449,7753; 9078,4866;103111,79401
1081004;  8730,9267;27905,6725;18998,8749; 12997,69959
1031008; 23479,3847;23599,8524;12651,1240; 11070,02853
1081001; 23207,5159;31612,8069;    0,0000; 17066,67396
1012005; 55523,8456;12287,3161;13217,3456; 46232,33124
1030007; 57877,5346; 3851,1276;11991,7827; 24925,03253
1040004;  7181,5102; 8460,8864;57430,7739; 41962,94527
